user_id,item_id,interaction_type,timestamp,user_idx,item_idx,interaction_idx
user_0,item_138,share,2024-01-01 10:00:00,0,0,0
user_0,item_135,click,2024-01-09 08:39:00,0,1,1
user_0,item_153,click,2024-01-15 04:23:00,0,2,1
user_0,item_23,click,2024-01-20 07:45:00,0,3,1
user_0,item_151,click,2024-01-22 16:45:00,0,4,1
user_0,item_130,click,2024-02-04 07:26:00,0,5,1
user_0,item_175,click,2024-02-10 17:36:00,0,6,1
user_0,item_174,click,2024-02-16 06:14:00,0,7,1
user_0,item_21,like,2024-02-20 09:35:00,0,8,2
user_0,item_147,click,2024-02-20 15:34:00,0,9,1
user_0,item_171,click,2024-02-21 23:51:00,0,10,1
user_0,item_61,click,2024-02-27 08:23:00,0,11,1
user_0,item_173,like,2024-03-04 07:22:00,0,12,2
user_0,item_26,click,2024-03-11 10:15:00,0,13,1
user_0,item_20,comment,2024-03-14 13:08:00,0,14,3
user_0,item_62,click,2024-03-15 15:14:00,0,15,1
user_0,item_128,like,2024-03-18 11:40:00,0,16,2
user_0,item_196,like,2024-03-22 05:31:00,0,17,2
user_0,item_11,like,2024-03-31 21:30:00,0,18,2
user_0,item_92,click,2024-04-10 17:32:00,0,19,1
user_0,item_1,like,2024-04-26 06:15:00,0,20,2
user_0,item_28,click,2024-04-26 11:54:00,0,21,1
user_0,item_39,click,2024-04-27 15:17:00,0,22,1
user_0,item_160,click,2024-05-24 20:14:00,0,23,1
user_0,item_41,click,2024-06-01 13:25:00,0,24,1
user_0,item_102,click,2024-06-02 15:12:00,0,25,1
user_0,item_163,like,2024-06-08 22:04:00,0,26,2
user_0,item_155,like,2024-06-27 06:23:00,0,27,2
user_0,item_35,click,2024-07-10 07:45:00,0,28,1
user_0,item_0,share,2024-07-10 19:04:00,0,29,0
user_0,item_91,like,2024-07-11 14:51:00,0,30,2
user_0,item_164,click,2024-07-11 21:07:00,0,31,1
user_0,item_174,like,2024-07-13 07:07:00,0,7,2
user_0,item_41,click,2024-07-15 13:41:00,0,24,1
user_0,item_163,click,2024-07-19 06:30:00,0,26,1
user_0,item_178,click,2024-07-21 08:10:00,0,32,1
user_0,item_56,click,2024-07-21 13:45:00,0,33,1
user_0,item_11,like,2024-07-29 17:26:00,0,18,2
user_0,item_96,click,2024-08-01 11:40:00,0,34,1
user_0,item_28,comment,2024-08-11 22:12:00,0,21,3
user_0,item_145,comment,2024-08-17 03:24:00,0,35,3
user_0,item_58,like,2024-08-17 16:57:00,0,36,2
user_0,item_39,click,2024-09-02 02:25:00,0,22,1
user_0,item_160,like,2024-09-20 08:02:00,0,23,2
user_0,item_97,click,2024-09-22 15:55:00,0,37,1
user_0,item_54,like,2024-10-15 02:11:00,0,38,2
user_0,item_191,click,2024-10-17 20:02:00,0,39,1
user_0,item_143,click,2024-11-01 11:39:00,0,40,1
user_0,item_75,click,2024-11-26 09:24:00,0,41,1
user_0,item_98,click,2024-12-06 19:46:00,0,42,1
user_1,item_156,share,2024-01-06 16:44:00,1,43,0
user_1,item_12,like,2024-01-11 17:55:00,1,44,2
user_1,item_191,click,2024-02-06 12:19:00,1,39,1
user_1,item_54,comment,2024-02-12 16:44:00,1,38,3
user_1,item_14,click,2024-02-14 09:19:00,1,45,1
user_1,item_30,click,2024-02-16 14:57:00,1,46,1
user_1,item_47,click,2024-02-19 11:43:00,1,47,1
user_1,item_33,comment,2024-02-20 02:13:00,1,48,3
user_1,item_150,click,2024-02-21 16:42:00,1,49,1
user_1,item_80,comment,2024-02-22 19:47:00,1,50,3
user_1,item_14,share,2024-02-28 08:03:00,1,45,0
user_1,item_148,click,2024-02-29 16:46:00,1,51,1
user_1,item_19,click,2024-03-12 07:05:00,1,52,1
user_1,item_186,click,2024-03-12 15:59:00,1,53,1
user_1,item_2,click,2024-03-13 19:18:00,1,54,1
user_1,item_194,click,2024-04-01 13:50:00,1,55,1
user_1,item_61,click,2024-04-05 07:16:00,1,11,1
user_1,item_171,click,2024-04-06 08:20:00,1,10,1
user_1,item_149,click,2024-04-24 15:21:00,1,56,1
user_1,item_62,click,2024-04-24 20:50:00,1,15,1
user_1,item_32,like,2024-04-30 05:49:00,1,57,2
user_1,item_27,click,2024-05-18 12:09:00,1,58,1
user_1,item_54,comment,2024-05-26 11:23:00,1,38,3
user_1,item_39,click,2024-06-07 12:36:00,1,22,1
user_1,item_181,like,2024-06-15 17:03:00,1,59,2
user_1,item_86,click,2024-06-16 13:33:00,1,60,1
user_1,item_23,comment,2024-06-21 03:02:00,1,3,3
user_1,item_30,comment,2024-06-28 06:56:00,1,46,3
user_1,item_46,click,2024-06-30 21:42:00,1,61,1
user_1,item_18,click,2024-07-12 02:43:00,1,62,1
user_1,item_18,click,2024-07-21 18:45:00,1,62,1
user_1,item_112,like,2024-08-08 06:53:00,1,63,2
user_1,item_66,click,2024-08-16 18:46:00,1,64,1
user_1,item_107,like,2024-08-18 08:58:00,1,65,2
user_1,item_17,comment,2024-08-28 14:40:00,1,66,3
user_1,item_15,click,2024-09-04 01:45:00,1,67,1
user_1,item_182,click,2024-09-28 22:00:00,1,68,1
user_1,item_42,click,2024-10-11 07:07:00,1,69,1
user_1,item_172,comment,2024-10-21 00:30:00,1,70,3
user_1,item_62,like,2024-10-23 09:54:00,1,15,2
user_1,item_137,click,2024-11-03 04:55:00,1,71,1
user_1,item_67,click,2024-11-04 02:53:00,1,72,1
user_1,item_48,click,2024-11-09 21:10:00,1,73,1
user_1,item_112,comment,2024-11-24 18:18:00,1,63,3
user_1,item_67,comment,2024-11-27 07:51:00,1,72,3
user_1,item_171,like,2024-11-28 22:35:00,1,10,2
user_1,item_90,click,2024-12-06 01:51:00,1,74,1
user_1,item_185,comment,2024-12-10 04:32:00,1,75,3
user_1,item_42,click,2024-12-16 12:21:00,1,69,1
user_1,item_73,click,2024-12-20 09:12:00,1,76,1
user_10,item_134,click,2024-01-15 19:23:00,2,77,1
user_10,item_115,comment,2024-01-20 10:06:00,2,78,3
user_10,item_129,like,2024-01-28 11:42:00,2,79,2
user_10,item_99,comment,2024-02-01 16:50:00,2,80,3
user_10,item_134,share,2024-02-19 06:47:00,2,77,0
user_10,item_157,click,2024-02-27 16:35:00,2,81,1
user_10,item_60,click,2024-02-29 10:10:00,2,82,1
user_10,item_146,click,2024-03-03 08:13:00,2,83,1
user_10,item_32,like,2024-03-09 01:13:00,2,57,2
user_10,item_39,click,2024-03-14 15:34:00,2,22,1
user_10,item_95,click,2024-03-15 16:54:00,2,84,1
user_10,item_17,click,2024-03-16 11:40:00,2,66,1
user_10,item_182,like,2024-03-31 18:55:00,2,68,2
user_10,item_169,click,2024-04-05 10:15:00,2,85,1
user_10,item_49,click,2024-04-10 04:08:00,2,86,1
user_10,item_51,like,2024-04-10 18:42:00,2,87,2
user_10,item_120,like,2024-04-11 01:35:00,2,88,2
user_10,item_69,click,2024-04-17 07:07:00,2,89,1
user_10,item_4,click,2024-04-18 21:03:00,2,90,1
user_10,item_72,click,2024-04-26 17:40:00,2,91,1
user_10,item_128,click,2024-04-28 00:11:00,2,16,1
user_10,item_152,click,2024-04-28 03:29:00,2,92,1
user_10,item_46,like,2024-04-30 13:01:00,2,61,2
user_10,item_4,click,2024-05-11 06:20:00,2,90,1
user_10,item_120,comment,2024-05-21 06:41:00,2,88,3
user_10,item_111,click,2024-06-10 16:24:00,2,93,1
user_10,item_93,like,2024-06-21 23:09:00,2,94,2
user_10,item_28,like,2024-06-22 01:04:00,2,21,2
user_10,item_77,click,2024-06-22 15:02:00,2,95,1
user_10,item_0,like,2024-06-24 04:10:00,2,29,2
user_10,item_152,click,2024-06-25 04:11:00,2,92,1
